Date,Open,High,Low,Close
"Jul 19, 2015",274.77,275.67,272.51,273.61
"Jul 20, 2015",273.5,278.98,272.96,278.98
"Jul 21, 2015",278.88,280.55,275.42,275.83
"Jul 22, 2015",275.66,277.67,274.38,277.22
"Jul 23, 2015",277.34,278.11,275.72,276.05
"Jul 24, 2015",276.01,289.25,275.25,288.28
"Jul 25, 2015",288.16,290.73,286.0,288.7
"Jul 26, 2015",288.64,293.05,287.71,292.69
"Jul 27, 2015",292.64,297.77,287.45,293.62
"Jul 28, 2015",293.63,296.65,293.42,294.43
"Jul 29, 2015",294.48,294.54,288.78,289.59
"Jul 30, 2015",289.1,290.13,286.57,287.72
"Jul 31, 2015",287.7,288.96,282.34,284.65
"Aug 01, 2015",284.69,284.93,278.11,281.6
"Aug 02, 2015",280.45,283.03,277.53,282.61
"Aug 03, 2015",282.81,285.47,280.23,281.23
"Aug 04, 2015",281.23,285.71,281.23,285.22
"Aug 05, 2015",284.85,285.5,281.49,281.88
"Aug 06, 2015",281.91,281.91,278.4,278.58
"Aug 07, 2015",278.74,280.39,276.37,279.58
"Aug 08, 2015",279.74,279.93,260.71,261.0
"Aug 09, 2015",261.12,267.0,260.47,265.08
"Aug 10, 2015",265.48,267.03,262.6,264.47
"Aug 11, 2015",264.34,270.39,264.09,270.39
"Aug 12, 2015",270.6,270.67,265.47,266.38
"Aug 13, 2015",266.18,266.23,262.84,264.08
"Aug 14, 2015",264.13,267.47,261.48,265.68
"Aug 15, 2015",265.53,266.67,261.3,261.55
"Aug 16, 2015",261.87,262.44,257.04,258.51
"Aug 17, 2015",258.49,260.51,257.12,257.98
"Aug 18, 2015",257.93,257.99,211.08,211.08
"Aug 19, 2015",225.67,237.41,222.77,226.68
"Aug 20, 2015",226.9,237.37,226.9,235.35
"Aug 21, 2015",235.35,236.43,231.72,232.57
"Aug 22, 2015",232.66,234.96,222.7,230.39
"Aug 23, 2015",230.38,232.71,225.58,228.17
"Aug 24, 2015",228.11,228.14,210.44,210.49
"Aug 25, 2015",210.07,226.32,199.57,221.61
"Aug 26, 2015",222.08,231.18,220.2,225.83
"Aug 27, 2015",226.05,228.64,223.68,224.77
"Aug 28, 2015",224.7,235.22,220.93,231.4
"Aug 29, 2015",231.55,233.22,227.33,229.78
"Aug 30, 2015",229.9,232.07,226.25,228.76
"Aug 31, 2015",229.11,231.96,225.91,230.06
"Sep 01, 2015",230.26,231.22,226.86,228.12
"Sep 02, 2015",228.03,230.58,226.48,229.28
"Sep 03, 2015",229.32,229.6,226.67,227.18
"Sep 04, 2015",227.21,230.9,227.05,230.3
"Sep 05, 2015",230.2,236.14,229.44,235.02
"Sep 06, 2015",234.87,242.91,234.68,239.84
"Sep 07, 2015",239.93,242.11,238.72,239.85
"Sep 08, 2015",239.85,245.78,239.68,243.61
"Sep 09, 2015",243.41,244.42,237.82,238.17
"Sep 10, 2015",238.34,241.29,235.79,238.48
"Sep 11, 2015",238.33,241.17,238.33,240.11
"Sep 12, 2015",239.85,240.12,234.75,235.23
"Sep 13, 2015",235.24,235.93,229.33,230.51
"Sep 14, 2015",230.61,232.44,227.96,230.64
"Sep 15, 2015",230.49,259.18,229.82,230.3
"Sep 16, 2015",230.25,231.21,227.4,229.09
"Sep 17, 2015",229.08,230.29,228.93,229.81
"Sep 18, 2015",233.52,234.35,232.18,232.98
"Sep 19, 2015",232.86,233.21,231.09,231.49
"Sep 20, 2015",231.4,232.37,230.91,231.21
"Sep 21, 2015",231.22,231.22,226.52,227.09
"Sep 22, 2015",226.97,232.39,225.12,230.62
"Sep 23, 2015",230.94,231.84,229.59,230.28
"Sep 24, 2015",230.36,235.65,230.29,234.53
"Sep 25, 2015",234.36,237.43,233.68,235.14
"Sep 26, 2015",235.08,235.4,233.36,234.34
"Sep 27, 2015",234.14,234.53,232.48,232.76
"Sep 28, 2015",232.84,239.34,232.47,239.14
"Sep 29, 2015",239.02,239.8,235.93,236.69
"Sep 30, 2015",236.64,237.73,235.63,236.06
"Oct 01, 2015",236.0,238.45,235.62,237.55
"Oct 02, 2015",237.26,238.54,236.6,237.29
"Oct 03, 2015",237.2,239.32,236.94,238.73
"Oct 04, 2015",238.53,238.97,237.94,238.26
"Oct 05, 2015",238.15,240.38,237.04,240.38
"Oct 06, 2015",240.36,246.93,240.14,246.06
"Oct 07, 2015",246.17,246.68,242.59,242.97
"Oct 08, 2015",243.07,244.25,242.18,242.3
"Oct 09, 2015",242.5,244.23,242.12,243.93
"Oct 10, 2015",243.74,245.32,243.07,244.94
"Oct 11, 2015",244.74,247.24,244.15,247.05
"Oct 12, 2015",246.88,247.45,245.18,245.31
"Oct 13, 2015",245.2,250.24,243.76,249.51
"Oct 14, 2015",249.49,254.27,248.9,251.99
